Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,87,48,3070,70,,53,,37,74,39,24,37,20,23,19,57,71,43,,81,121,975,,
Albania,1,0,0,0,2,0,1,,,,0,0,0,1,0,0,2,2,1,1,0,1,2,2
Algeria,2,0,,,,1,0,0,0,0,0,0,0,0,3,9,11,9,18,13,,,20,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1947,921,885,735,,340,,,305,330,360,543,953,490,675,601,790,1633,89,153,643,964,,
Anguilla,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,5,7,0,4,,,8,8,10,8,11,10,1,5,15,8,6,5,14,25,25,18,11,12
Armenia,0,0,0,2,,0,0,1,0,1,0,1,0,3,,,0,2,0,1,0,1,3,1
Aruba,0,0,0,,,0,,,,,,,,,,,,,,,,,,
Australia,4,1,3,7,3,3,4,7,3,3,4,7,3,2,3,4,3,,2,5,3,2,3,7
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,11,9,7,13,8,9,5,7,0,0,,6,3,2,2,2,1,0,1,3
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0
Bangladesh,35,19,33,60,166,226,352,441,559,,508,614,644,710,791,943,1034,1235,1388,1897,715,1036,1221,1155
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,0,,0,0,1
Belarus,0,0,1,1,0,,0,0,0,,0,0,0,2,1,0,0,0,1,2,2,4,2,1
Belgium,,,,,0,0,,,,,,0,0,0,2,2,1,1,3,2,1,1,3,
Belize,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Benin,74,63,58,41,252,111,,122,7,3,8,7,6,82,4,7,9,,12,17,25,,,288
Bermuda,0,1,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1
Bhutan,0,0,0,0,,0,0,1,0,4,0,0,3,0,23,7,,,1,,,,0,2
Bolivia (Plurinational State of),,0,0,0,0,0,5,0,0,0,0,0,1,0,9,13,9,10,15,29,16,29,3,8
Bosnia and Herzegovina,1,0,0,,,,0,0,0,,,0,0,2,0,0,1,4,0,0,0,0,0,0
Botswana,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Brazil,219,206,160,174,211,,225,224,273,273,213,314,333,308,278,333,281,431,420,463,513,268,129,346
British Virgin Islands,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,1
Brunei Darussalam,2,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,,,0,1,0,,,0
Bulgaria,0,0,0,1,,,,4,0,0,1,2,4,2,,2,0,4,2,0,2,2,4,3
Burkina Faso,212,210,55,13,11,206,105,1,0,96,27,1,3,74,7,11,13,9,35,4,16,4,12,
Burundi,39,0,54,0,0,0,,,,3,1,1,2,2,11,,14,23,16,,40,71,,33
Cabo Verde,0,0,0,,0,1,0,,0,0,0,2,2,0,0,2,0,0,0,,2,1,1,2
Cambodia,4,7,6,7,14,14,,0,,18,13,15,,,27,324,242,806,68,1041,796,966,913,295
Cameroon,36,40,31,16,7,27,51,58,120,110,43,23,93,83,72,65,147,,129,154,,,,279
Canada,3,3,4,3,4,0,4,5,4,6,2,4,2,3,2,1,5,2,4,2,0,0,6,1
Cayman Islands,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0
Central African Republic,2958,69,52,177,109,119,105,,96,24,68,74,49,20,15,25,68,,20,36,,,,37
Chad,315,451,,251,237,189,47,172,195,154,176,225,215,,146,163,100,,191,,,,,
Chile,8,7,4,8,7,3,8,11,8,7,10,6,12,9,10,8,3,7,8,10,10,6,11,5
China,,18,23,32,,,,,,426,492,,,,,1786,2112,,2761,,,,,
"China, Hong Kong SAR",2,0,1,0,0,0,1,,,,4,4,1,0,1,0,1,,,,3,,4,7
"China, Macao SAR",0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0
Colombia,25,39,34,21,27,38,37,45,48,59,31,50,37,71,40,45,65,63,72,,7,37,25,27
Comoros,3,2,0,0,3,5,0,0,0,1,0,,0,2,3,3,2,2,1,0,0,0,,
Congo,14,8,18,54,0,0,,0,,14,5,2,0,2,2,3,3,25,12,14,15,8,,
Cook Islands,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
Croatia,0,0,0,0,2,3,2,0,3,,1,1,2,4,9,1,5,4,3,8,12,8,14,18
Cuba,0,0,0,0,0,0,2,0,1,1,2,3,1,1,3,3,0,3,0,0,3,0,2,1
Cyprus,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,0
Czechia,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Côte d'Ivoire,646,630,692,528,70,368,138,3,9,12,15,9,,,8,15,31,,2,,12,20,,
Democratic People's Republic of Korea,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Democratic Republic of the Congo,474,121,514,782,807,792,939,80,330,201,,1296,943,1038,1368,1252,1153,802,1524,1515,574,4763,1369,77
Denmark,1,0,1,1,0,2,2,,,,1,0,0,0,0,1,3,2,0,1,0,0,1,1
Djibouti,1,0,0,,,0,,,,,,,,0,0,0,0,1,0,0,0,1,0,0
Dominica,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,,0,,1,0,0
Dominican Republic,33,30,36,24,39,44,46,46,37,45,55,40,45,50,59,66,64,69,54,49,53,58,37,25
Ecuador,5,10,,3,14,59,60,52,49,2,27,1,2,2,5,15,15,47,16,,7,22,36,28
Egypt,1,1,2,2,,,,,,8,9,,264,,11,189,34,60,,,523,673,732,597
El Salvador,8,4,1,0,4,4,0,2,6,6,4,7,9,2,10,1,6,5,7,7,6,7,7,13
Equatorial Guinea,5,0,2,4,1,6,,0,1,0,0,0,3,0,2,4,1,1,0,2,1,0,2,
Eritrea,16,0,0,0,0,0,0,1,7,,0,19,17,16,49,8,,1,6,15,17,10,9,11
Estonia,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1
Eswatini,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,0,0,1,0,0,0,0,,0
Ethiopia,20,22,33,45,107,14,,18,0,,16,,33,75,50,66,62,,57,,,,,
Fiji,4,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,2,
Finland,0,0,,0,0,0,0,,0,,,,,,,,,,,,,,,
France,2,4,5,3,,,4,4,,,10,,9,14,8,8,8,16,,26,26,17,,26
French Polynesia,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,,,0,
Gabon,4,8,1,1,4,0,,,,,0,2,,3,5,6,,3,0,,,3,14,
Gambia,0,0,0,,1,3,1,0,0,0,0,0,2,0,0,0,0,0,6,3,3,3,0,2
Georgia,3,5,0,1,2,7,5,5,4,7,2,6,5,7,3,4,7,3,2,7,7,13,8,6
Germany,,,,,,,,,,,,,,,,,,,,,,,,8
